name;location;category;subCategory;unit;type;ubp06;ipcc2007;metaData
Lead, Pb 0.014%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, in ore, in ground;;resource;in ground;kg;Resource;;;
Lithium, 0.15% in brine, in ground;;resource;in ground;kg;Resource;;;
Magnesite, 60% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Magnesium, 0.13% in water;;resource;in water;kg;Resource;;;
Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Metamorphous rock, graphite containing, in ground;;resource;in ground;kg;Resource;;;
Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Molybdenum, 0.014% in sulfide, Mo 8.2E-3% and Cu 0.81% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Neodymium, 4% in bastnasite, 0.4% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground;;resource;in ground;kg;Resource;;;
Ni, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore, in ground;;resource;in ground;kg;Resource;;;
Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Nickel, 1.98% in silicates, 1.04% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Occupation, arable;;resource;land;m²a;Resource;100,00000 ;;
Occupation, arable, non-irrigated;;resource;land;m²a;Resource;100,00000 ;;
Occupation, arable, non-irrigated, diverse-intensive;;resource;land;m²a;Resource;130,00000 ;;
Occupation, arable, non-irrigated, fallow;;resource;land;m²a;Resource;-40,00000 ;;
Occupation, arable, non-irrigated, monotone-intensive;;resource;land;m²a;Resource;110,00000 ;;
Occupation, beaches, dunes, sands, desert;;resource;land;m²a;Resource;;;
Occupation, construction site;;resource;land;m²a;Resource;220,00000 ;;
Occupation, dump site;;resource;land;m²a;Resource;220,00000 ;;
Occupation, dump site, benthos;;resource;land;m²a;Resource;;;
Occupation, forest;;resource;land;m²a;Resource;15,00000 ;;
Occupation, forest, extensive;;resource;land;m²a;Resource;-8,10000 ;;
Occupation, forest, intensive;;resource;land;m²a;Resource;15,00000 ;;
Occupation, forest, intensive, clear-cutting;;resource;land;m²a;Resource;100,00000 ;;
Occupation, forest, intensive, normal;;resource;land;m²a;Resource;15,00000 ;;
Occupation, forest, intensive, short-cycle;;resource;land;m²a;Resource;100,00000 ;;
Occupation, heterogeneous, agricultural;;resource;land;m²a;Resource;100,00000 ;;
Occupation, industrial area;;resource;land;m²a;Resource;220,00000 ;;
Occupation, industrial area, benthos;;resource;land;m²a;Resource;;;
Occupation, industrial area, built up;;resource;land;m²a;Resource;260,00000 ;;
Occupation, industrial area, vegetation;;resource;land;m²a;Resource;210,00000 ;;
Occupation, mineral extraction site;;resource;land;m²a;Resource;220,00000 ;;
Occupation, pasture and meadow;;resource;land;m²a;Resource;57,00000 ;;
Occupation, pasture and meadow, extensive;;resource;land;m²a;Resource;;;
Occupation, pasture and meadow, intensive;;resource;land;m²a;Resource;84,00000 ;;
Occupation, permanent crop;;resource;land;m²a;Resource;29,00000 ;;
Occupation, permanent crop, fruit;;resource;land;m²a;Resource;13,00000 ;;
Occupation, permanent crop, fruit, extensive;;resource;land;m²a;Resource;-12,00000 ;;
Occupation, permanent crop, fruit, intensive;;resource;land;m²a;Resource;97,00000 ;;
Occupation, permanent crop, vine;;resource;land;m²a;Resource;29,00000 ;;
Occupation, permanent crop, vine, extensive;;resource;land;m²a;Resource;29,00000 ;;
Occupation, permanent crop, vine, intensive;;resource;land;m²a;Resource;29,00000 ;;
Occupation, sea and ocean;;resource;land;m²a;Resource;;;
Occupation, shrub land, sclerophyllous;;resource;land;m²a;Resource;-12,00000 ;;
Occupation, sparsely vegetated areas, steppe, tundra, badlands;;resource;land;m²a;Resource;;;
Occupation, traffic area, rail embankment;;resource;land;m²a;Resource;180,00000 ;;
Occupation, traffic area, rail network;;resource;land;m²a;Resource;220,00000 ;;
Occupation, traffic area, road embankment;;resource;land;m²a;Resource;180,00000 ;;
Occupation, traffic area, road network;;resource;land;m²a;Resource;220,00000 ;;
Occupation, tropical rain forest;;resource;land;m²a;Resource;-8,10000 ;;
Occupation, unknown;;resource;land;m²a;Resource;160,00000 ;;
Occupation, urban, continuously built;;resource;land;m²a;Resource;260,00000 ;;
Occupation, urban, discontinuously built;;resource;land;m²a;Resource;220,00000 ;;
Occupation, water bodies, artificial;;resource;land;m²a;Resource;;;
Occupation, water courses, artificial;;resource;land;m²a;Resource;;;
Oil, crude, in ground;;resource;in ground;kg;Resource;151,00000 ;;
Olivine, in ground;;resource;in ground;kg;Resource;;;
Pd, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground;;resource;in ground;kg;Resource;;;
Pd, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground;;resource;in ground;kg;Resource;;;
Peat, in ground;;resource;biotic;kg;Resource;;;
Perlite, in ground;;resource;in ground;kg;Resource;;;
Phosphorus, 18% in apatite, 12% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Phosphorus, 18% in apatite, 4% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Praseodymium, 0.42% in bastnasite, 0.042% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Pt, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground;;resource;in ground;kg;Resource;;;
Pt, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground;;resource;in ground;kg;Resource;;;
Pumice, in ground;;resource;in ground;kg;Resource;;;
Pyrite, in ground;;resource;in ground;kg;Resource;;;
Pyrolusite, in ground;;resource;in ground;kg;Resource;;;
Rh, Rh 2.0E-5%, Pt 2.5E-4%, Pd 7.3E-4%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground;;resource;in ground;kg;Resource;;;
Rh, Rh 2.4E-5%, Pt 4.8E-4%, Pd 2.0E-4%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground;;resource;in ground;kg;Resource;;;
Rhenium, in crude ore, in ground;;resource;in ground;kg;Resource;;;
Samarium, 0.3% in bastnasite, 0.03% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Sand, unspecified, in ground;;resource;in ground;kg;Resource;;;
Shale, in ground;;resource;in ground;kg;Resource;;;
Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In, in ground;;resource;in ground;kg;Resource;;;
Silver, 0.01% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Silver, 3.2ppm in sulfide, Ag 1.2ppm, Cu and Te, in crude ore, in ground;;resource;in ground;kg;Resource;;;
Silver, Ag 2.1E-4%, Au 2.1E-4%, in ore, in ground;;resource;in ground;kg;Resource;;;
Silver, Ag 4.2E-3%, Au 1.1E-4%, in ore, in ground;;resource;in ground;kg;Resource;;;
Silver, Ag 4.6E-5%, Au 1.3E-4%, in ore, in ground;;resource;in ground;kg;Resource;;;
Silver, Ag 9.7E-4%, Au 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore, in ground;;resource;in ground;kg;Resource;;;
Sodium chloride, in ground;;resource;in ground;kg;Resource;;;
Sodium nitrate, in ground;;resource;in ground;kg;Resource;;;
Sodium sulphate, various forms, in ground;;resource;in ground;kg;Resource;;;
Spodumene, in ground;;resource;in ground;kg;Resource;;;
Stibnite, in ground;;resource;in ground;kg;Resource;;;
Sulfur, in ground;;resource;in ground;kg;Resource;;;
Sylvite, 25 % in sylvinite, in ground;;resource;in ground;kg;Resource;;;
Talc, in ground;;resource;in ground;kg;Resource;;;
Tantalum, 81.9% in tantalite, 1.6E-4% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Tellurium, 0.5ppm in sulfide, Te 0.2ppm, Cu and Ag, in crude ore, in ground;;resource;in ground;kg;Resource;;;
Tin, 79% in cassiterite, 0.1% in crude ore, in ground;;resource;in ground;kg;Resource;;;
TiO2, 45-60% in Ilmenite,  in ground;;resource;in ground;kg;Resource;;;
TiO2, 54% in ilmenite, 2.6% in crude ore, in ground;;resource;in ground;kg;Resource;;;
TiO2, 95% in rutile, 0.40% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Transformation, from  sparsely vegetated areas, steppe, tundra, badlands;;resource;land;m²;Resource;;;
Transformation, from arable;;resource;land;m²;Resource;;;
Transformation, from arable, non-irrigated;;resource;land;m²;Resource;;;
Transformation, from arable, non-irrigated, diverse-intensive;;resource;land;m²;Resource;;;
Transformation, from arable, non-irrigated, fallow;;resource;land;m²;Resource;;;
Transformation, from arable, non-irrigated, monotone-intensive;;resource;land;m²;Resource;;;
Transformation, from beaches, dunes, sands, desert;;resource;land;m²;Resource;;;
Transformation, from dump site;;resource;land;m²;Resource;;;
Transformation, from dump site, benthos;;resource;land;m²;Resource;;;
Transformation, from dump site, inert material landfill;;resource;land;m²;Resource;;;
Transformation, from dump site, residual material landfill;;resource;land;m²;Resource;;;
Transformation, from dump site, sanitary landfill;;resource;land;m²;Resource;;;
Transformation, from dump site, slag compartment;;resource;land;m²;Resource;;;
Transformation, from forest;;resource;land;m²;Resource;;;
Transformation, from forest, extensive;;resource;land;m²;Resource;;;
Transformation, from forest, intensive;;resource;land;m²;Resource;;;
Transformation, from forest, intensive, clear-cutting;;resource;land;m²;Resource;;;
Transformation, from forest, intensive, normal;;resource;land;m²;Resource;;;
Transformation, from forest, intensive, short-cycle;;resource;land;m²;Resource;;;
Transformation, from heterogeneous, agricultural;;resource;land;m²;Resource;;;
Transformation, from industrial area;;resource;land;m²;Resource;;;
Transformation, from industrial area, benthos;;resource;land;m²;Resource;;;
Transformation, from industrial area, built up;;resource;land;m²;Resource;;;
Transformation, from industrial area, vegetation;;resource;land;m²;Resource;;;
Transformation, from mineral extraction site;;resource;land;m²;Resource;;;
Transformation, from pasture and meadow;;resource;land;m²;Resource;;;
Transformation, from pasture and meadow, extensive;;resource;land;m²;Resource;;;
Transformation, from pasture and meadow, intensive;;resource;land;m²;Resource;;;
Transformation, from permanent crop;;resource;land;m²;Resource;;;
Transformation, from permanent crop, fruit;;resource;land;m²;Resource;;;
Transformation, from permanent crop, fruit, extensive;;resource;land;m²;Resource;;;
Transformation, from permanent crop, fruit, intensive;;resource;land;m²;Resource;;;
Transformation, from permanent crop, vine;;resource;land;m²;Resource;;;
Transformation, from permanent crop, vine, extensive;;resource;land;m²;Resource;;;
Transformation, from permanent crop, vine, intensive;;resource;land;m²;Resource;;;
Transformation, from sea and ocean;;resource;land;m²;Resource;;;
Transformation, from shrub land, sclerophyllous;;resource;land;m²;Resource;;;
Transformation, from traffic area, rail embankment;;resource;land;m²;Resource;;;
Transformation, from traffic area, rail network;;resource;land;m²;Resource;;;
Transformation, from traffic area, road embankment;;resource;land;m²;Resource;;;
Transformation, from traffic area, road network;;resource;land;m²;Resource;;;
Transformation, from tropical rain forest;;resource;land;m²;Resource;;;
Transformation, from unknown;;resource;land;m²;Resource;;;
Transformation, from urban, continuously built;;resource;land;m²;Resource;;;
Transformation, from urban, discontinuously built;;resource;land;m²;Resource;;;
Transformation, from water bodies, artificial;;resource;land;m²;Resource;;;
Transformation, from water courses, artificial;;resource;land;m²;Resource;;;
Transformation, to  sparsely vegetated areas, steppe, tundra, badlands;;resource;land;m²;Resource;;;
Transformation, to arable;;resource;land;m²;Resource;;;
Transformation, to arable, non-irrigated;;resource;land;m²;Resource;;;
Transformation, to arable, non-irrigated, diverse-intensive;;resource;land;m²;Resource;;;
Transformation, to arable, non-irrigated, fallow;;resource;land;m²;Resource;;;
Transformation, to arable, non-irrigated, monotone-intensive;;resource;land;m²;Resource;;;
Transformation, to beaches, dunes, sands, desert;;resource;land;m²;Resource;;;
Transformation, to dump site;;resource;land;m²;Resource;;;
Transformation, to dump site, benthos;;resource;land;m²;Resource;;;
Transformation, to dump site, inert material landfill;;resource;land;m²;Resource;;;
Transformation, to dump site, residual material landfill;;resource;land;m²;Resource;;;
Transformation, to dump site, sanitary landfill;;resource;land;m²;Resource;;;
Transformation, to dump site, slag compartment;;resource;land;m²;Resource;;;
Transformation, to forest;;resource;land;m²;Resource;;;
Transformation, to forest, extensive;;resource;land;m²;Resource;;;
Transformation, to forest, intensive;;resource;land;m²;Resource;;;
Transformation, to forest, intensive, clear-cutting;;resource;land;m²;Resource;;;
Transformation, to forest, intensive, normal;;resource;land;m²;Resource;;;
Transformation, to forest, intensive, short-cycle;;resource;land;m²;Resource;;;
Transformation, to heterogeneous, agricultural;;resource;land;m²;Resource;;;
Transformation, to industrial area;;resource;land;m²;Resource;;;
Transformation, to industrial area, benthos;;resource;land;m²;Resource;;;
Transformation, to industrial area, built up;;resource;land;m²;Resource;;;
Transformation, to industrial area, vegetation;;resource;land;m²;Resource;;;
Transformation, to mineral extraction site;;resource;land;m²;Resource;;;
Transformation, to pasture and meadow;;resource;land;m²;Resource;;;
Transformation, to pasture and meadow, extensive;;resource;land;m²;Resource;;;
Transformation, to pasture and meadow, intensive;;resource;land;m²;Resource;;;
Transformation, to permanent crop;;resource;land;m²;Resource;;;
Transformation, to permanent crop, fruit;;resource;land;m²;Resource;;;
Transformation, to permanent crop, fruit, extensive;;resource;land;m²;Resource;;;
Transformation, to permanent crop, fruit, intensive;;resource;land;m²;Resource;;;
Transformation, to permanent crop, vine;;resource;land;m²;Resource;;;
Transformation, to permanent crop, vine, extensive;;resource;land;m²;Resource;;;
Transformation, to permanent crop, vine, intensive;;resource;land;m²;Resource;;;
Transformation, to sea and ocean;;resource;land;m²;Resource;;;
Transformation, to shrub land, sclerophyllous;;resource;land;m²;Resource;;;
Transformation, to traffic area, rail embankment;;resource;land;m²;Resource;;;
Transformation, to traffic area, rail network;;resource;land;m²;Resource;;;
Transformation, to traffic area, road embankment;;resource;land;m²;Resource;;;
Transformation, to traffic area, road network;;resource;land;m²;Resource;;;
Transformation, to tropical rain forest;;resource;land;m²;Resource;;;
Transformation, to unknown;;resource;land;m²;Resource;;;
Transformation, to urban, continuously built;;resource;land;m²;Resource;;;
Transformation, to urban, discontinuously built;;resource;land;m²;Resource;;;
Transformation, to water bodies, artificial;;resource;land;m²;Resource;;;
Transformation, to water courses, artificial;;resource;land;m²;Resource;;;
Ulexite, in ground;;resource;in ground;kg;Resource;;;
Uranium, in ground;;resource;in ground;kg;Resource;1850000,00000 ;;
Vermiculite, in ground;;resource;in ground;kg;Resource;;;
Volume occupied, final repository for low-active radioactive waste;;resource;in ground;m³;Resource;3300000000,00000 ;;
Volume occupied, final repository for radioactive waste;;resource;in ground;m³;Resource;18000000000,00000 ;;
Volume occupied, reservoir;;resource;in water;m³a;Resource;;;
Volume occupied, underground deposit;;resource;in ground;m³;Resource;43000000,00000 ;;
Water, cooling, unspecified natural origin;;resource;in water;m³;Resource;97,00000 ;;
Water, lake;;resource;in water;m³;Resource;97,00000 ;;
Water, rain;;resource;in water;m³;Resource;;;
Water, river;;resource;in water;m³;Resource;97,00000 ;;
Water, salt, ocean;;resource;in water;m³;Resource;;;
Water, salt, sole;;resource;in water;m³;Resource;;;
Water, turbine use, unspecified natural origin;;resource;in water;m³;Resource;;;
Water, unspecified natural origin;;resource;in water;m³;Resource;97,00000 ;;
Water, well, in ground;;resource;in water;m³;Resource;97,00000 ;;
Wood, hard, standing;;resource;biotic;m³;Resource;;;
Wood, primary forest, standing;;resource;biotic;m³;Resource;;;
Wood, soft, standing;;resource;biotic;m³;Resource;;;
Wood, unspecified, standing;;resource;biotic;m³;Resource;;;
Xenon, in air;;resource;in air;kg;Resource;;;
Yttrium, in crude ore, in ground;;resource;in ground;kg;Resource;;;
Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground;;resource;in ground;kg;Resource;;;
Zinc, Zn 0.63%, Au 9.7E-4%, Ag 9.7E-4%, Cu 0.38%, Pb 0.014%, in ore, in ground;;resource;in ground;kg;Resource;;;
Zirconia, as baddeleyite, in ground;;resource;in ground;kg;Resource;;;
Zirconium, 50% in zircon, 0.39% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Zirconium, in crude ore, in ground;;resource;in ground;kg;Resource;;;
compost plant, open;CH;agricultural means of production;buildings;unit;Technosphere;2003300000,00000 ;;Building materials required for a compost plant and its construction as well as the disposal of these materials were included. Land use during construction and use is considered. The lifetime of the plant was assumed as 25 years. Transport of the building materials to the construction site were included.
dried roughage store, air dried, solar;CH;agricultural means of production;buildings;m³;Technosphere;237130,00000 ;;The inventory takes into account the use of construction materials and building machines for construction, repair and replacement including waste disposal and the transportation of the materials to the building site. Not taken into account were direct emission of the construction, disposal of production waste and the use of resources during utilization phase. 
dried roughage store, air dried, solar, operation;CH;agricultural means of production;buildings;kg;Technosphere;116,80000 ;0,01000 ;The inventory takes into account the energy and auxiliary materials like water, lubricating oil and cleaning agents. Also included is the use of the infrastructure. Not taken into account were the direct emission of the animal husbandry, fodder production and produced waste water.
dried roughage store, cold-air dried, conventional;CH;agricultural means of production;buildings;m³;Technosphere;215540,00000 ;;The inventory takes into account the use of construction materials and building machines for construction, repair and replacement including waste disposal and the transportation of the materials to the building site. Not taken into account were direct emission of the construction, disposal of production waste and the use of resources during utilization phase. 
dried roughage store, cold-air dried, conventional, operation;CH;agricultural means of production;buildings;kg;Technosphere;114,52000 ;0,02000 ;The inventory takes into account the energy and auxiliary materials like water, lubricating oil and cleaning agents. Also included is the use of the infrastructure. Not taken into account were the direct emission of the animal husbandry, fodder production and produced waste water.
dried roughage store, non ventilated;CH;agricultural means of production;buildings;m³;Technosphere;136810,00000 ;;The inventory takes into account the use of construction materials and building machines for construction, repair and replacement including waste disposal and the transportation of the materials to the building site. Not taken into account were direct emission of the construction, disposal of production waste and the use of resources during utilization phase. 
dried roughage store, non ventilated, operation;CH;agricultural means of production;buildings;kg;Technosphere;38,58600 ;;The inventory takes into account the energy and auxiliary materials like water, lubricating oil and cleaning agents. Also included is the use of the infrastructure. Not taken into account were the direct emission of the animal husbandry, fodder production and produced waste water.
dung slab;CH;agricultural means of production;buildings;m²;Technosphere;165230,00000 ;;The inventory takes into account the use of construction materials and building machines for construction, repair and replacement including waste disposal and the transportation of the materials to the building site. Not taken into account were direct emission of the construction, disposal of production waste and the use of resources during utilization phase. 
housing system with fully-slatted floor, pig;CH;agricultural means of production;buildings;pig place;Technosphere;1953000,00000 ;;The inventory takes into account the use of construction materials and building machines for construction, repair and replacement including waste disposal and the transportation of the materials to the building site. Not taken into account were direct emission of the construction, disposal of production waste and the use of resources during utilization phase. 
housing system with fully-slatted floor, pig, operation;CH;agricultural means of production;buildings;pig place;Technosphere;141630,00000 ;29,11000 ;The inventory takes into account the energy and auxiliary materials like water, lubricating oil and cleaning agents for the use of the described module for one year. Also included is the use of the infrastructure with the binding of a certain part of the appropriate infrastructure module. Not taken into account were the direct emission of the animal husbandry, fodder production and produced waste water.
label housing system, pig;CH;agricultural means of production;buildings;pig place;Technosphere;2260300,00000 ;;The inventory takes into account the use of construction materials and building machines for construction, repair and replacement including waste disposal and the transportation of the materials to the building site. Not taken into account were direct emission of the construction, disposal of production waste and the use of resources during utilization phase. 
label housing system, pig, operation;CH;agricultural means of production;buildings;pig place;Technosphere;58574,00000 ;4,83000 ;The inventory takes into account the energy and auxiliary materials like water, lubricating oil and cleaning agents for the use of the described module for one year. Also included is the use of the infrastructure with the binding of a certain part of the appropriate infrastructure module. Not taken into account were the direct emission of the animal husbandry, fodder production and produced waste water.
loose housing system, cattle;CH;agricultural means of production;buildings;LU;Technosphere;40582000,00000 ;;The inventory takes into account the use of construction materials and building machines for construction, repair and replacement including waste disposal and the transportation of the materials to the building site. Not taken into account were direct emission of the construction, disposal of production waste and the use of resources during utilization phase. 
loose housing system, cattle, operation;CH;agricultural means of production;buildings;LU;Technosphere;1264900,00000 ;135,34000 ;The inventory takes into account the energy and auxiliary materials like water, lubricating oil and cleaning agents for the use of the described module for one year. Also included is the use of the infrastructure with the binding of a certain part of the appropriate infrastructure module. Not taken into account were the direct emission of the animal husbandry, fodder production and produced waste water.
milking parlour;CH;agricultural means of production;buildings;unit;Technosphere;212420000,00000 ;;The inventory takes into account the use of construction materials and building machines for construction, repair and replacement including waste disposal and the transportation of the materials to the building site. Not taken into account were direct emission of the construction, disposal of production waste and the use of resources during utilization phase. 
